20,95,48
148,1,0,0
149,1,0,0
150,1,0,0
151,1,0,0
152,1,0,0
153,1,0,0
154,1,0,0
155,1,0,0
156,1,0,0
157,1,0,0
158,1,0,0
159,1,0,0
160,1,0,0
161,1,0,0
162,1,0,0
163,1,0,0
164,1,0,0
165,1,0,0
166,1,0,0
167,1,0,0
168,1,0,0
169,1,0,0
170,1,0,0
171,1,0,0
172,1,0,0
173,1,0,0
174,1,0,0
175,1,0,0
176,1,0,0
177,1,0,0
178,1,0,0
179,1,0,0
180,1,0,0
181,1,0,0
182,1,0,0
183,1,0,0
184,1,0,0
185,1,0,0
186,1,0,0
187,1,0,0
188,1,0,0
189,1,0,0
196,1,0,0
237,1,0,0
244,1,0,0
285,1,0,0
292,1,0,0
333,1,0,0
340,1,0,0
344,1,0,0
345,1,0,0
346,1,0,0
347,1,0,0
348,1,0,0
349,1,0,0
350,1,0,0
351,1,0,0
352,1,0,0
353,1,0,0
354,1,0,0
355,1,0,0
356,1,0,0
357,1,0,0
358,1,0,0
359,1,0,0
360,1,0,0
361,1,0,0
362,1,0,0
363,1,0,0
364,1,0,0
365,1,0,0
366,1,0,0
367,1,0,0
368,1,0,0
369,1,0,0
370,1,0,0
371,1,0,0
372,1,0,0
373,1,0,0
374,1,0,0
375,1,0,0
376,1,0,0
377,1,0,0
381,1,0,0
388,1,0,0
392,1,0,0
425,1,0,0
429,1,0,0
436,1,0,0
440,1,0,0
473,1,0,0
477,1,0,0
484,1,0,0
488,1,0,0
521,1,0,0
525,1,0,0
532,1,0,0
536,1,0,0
540,1,0,0
541,1,0,0
542,1,0,0
543,1,0,0
544,1,0,0
545,1,0,0
546,1,0,0
547,1,0,0
548,1,0,0
549,1,0,0
550,1,0,0
551,1,0,0
552,1,0,0
553,1,0,0
554,1,0,0
555,1,0,0
556,1,0,0
557,1,0,0
558,1,0,0
559,1,0,0
560,1,0,0
561,1,0,0
562,1,0,0
563,1,0,0
564,1,0,0
565,1,0,0
569,1,0,0
573,1,0,0
580,1,0,0
584,1,0,0
588,1,0,0
613,1,0,0
617,1,0,0
621,1,0,0
628,1,0,0
632,1,0,0
636,1,0,0
661,1,0,0
665,1,0,0
669,1,0,0
676,1,0,0
680,1,0,0
684,1,0,0
709,1,0,0
713,1,0,0
717,1,0,0
724,1,0,0
728,1,0,0
732,1,0,0
736,1,0,0
737,1,0,0
738,1,0,0
739,1,0,0
740,1,0,0
741,1,0,0
742,1,0,0
743,1,0,0
744,1,0,0
745,1,0,0
746,1,0,0
747,1,0,0
748,1,0,0
749,1,0,0
750,1,0,0
751,1,0,0
752,1,0,0
753,1,0,0
757,1,0,0
761,1,0,0
765,1,0,0
772,1,0,0
776,1,0,0
780,1,0,0
784,1,0,0
801,1,0,0
805,1,0,0
809,1,0,0
813,1,0,0
820,1,0,0
824,1,0,0
828,1,0,0
832,1,0,0
849,1,0,0
853,1,0,0
857,1,0,0
861,1,0,0
868,1,0,0
872,1,0,0
876,1,0,0
880,1,0,0
897,1,0,0
901,1,0,0
905,1,0,0
909,1,0,0
916,1,0,0
920,1,0,0
924,1,0,0
928,1,0,0
932,1,0,0
933,1,0,0
934,1,0,0
935,1,0,0
936,1,0,0
937,1,0,0
938,1,0,0
939,1,0,0
940,1,0,0
941,1,0,0
945,1,0,0
949,1,0,0
953,1,0,0
957,1,0,0
964,1,0,0
968,1,0,0
972,1,0,0
976,1,0,0
980,1,0,0
989,1,0,0
993,1,0,0
997,1,0,0
1001,1,0,0
1005,1,0,0
1012,1,0,0
1016,1,0,0
1020,1,0,0
1024,1,0,0
1028,1,0,0
1037,1,0,0
1041,1,0,0
1045,1,0,0
1049,1,0,0
1053,1,0,0
1060,1,0,0
1064,1,0,0
1068,1,0,0
1072,1,0,0
1076,1,0,0
1085,1,0,0
1089,1,0,0
1093,1,0,0
1097,1,0,0
1101,1,0,0
1108,1,0,0
1112,1,0,0
1116,1,0,0
1120,1,0,0
1124,1,0,0
1128,1,0,0
1129,1,0,0
1133,1,0,0
1137,1,0,0
1141,1,0,0
1145,1,0,0
1149,1,0,0
1156,1,0,0
1160,1,0,0
1164,1,0,0
1168,1,0,0
1172,1,0,0
1176,1,0,0
1177,1,0,0
1181,1,0,0
1185,1,0,0
1189,1,0,0
1193,1,0,0
1197,1,0,0
1204,1,0,0
1208,1,0,0
1212,1,0,0
1216,1,0,0
1220,1,0,0
1224,1,0,0
1225,1,0,0
1229,1,0,0
1233,1,0,0
1237,1,0,0
1241,1,0,0
1245,1,0,0
1252,1,0,0
1256,1,0,0
1260,1,0,0
1264,1,0,0
1268,1,0,0
1272,1,0,0
1273,1,0,0
1277,1,0,0
1281,1,0,0
1285,1,0,0
1289,1,0,0
1293,1,0,0
1300,1,0,0
1304,1,0,0
1308,1,0,0
1312,1,0,0
1316,1,0,0
1320,1,0,0
1321,1,0,0
1325,1,0,0
1329,1,0,0
1333,1,0,0
1337,1,0,0
1341,1,0,0
1348,1,0,0
1352,1,0,0
1356,1,0,0
1360,1,0,0
1364,1,0,0
1368,1,0,0
1369,1,0,0
1373,1,0,0
1377,1,0,0
1381,1,0,0
1385,1,0,0
1389,1,0,0
1396,1,0,0
1400,1,0,0
1404,1,0,0
1408,1,0,0
1412,1,0,0
1416,1,0,0
1417,1,0,0
1421,1,0,0
1425,1,0,0
1429,1,0,0
1433,1,0,0
1437,1,0,0
1444,1,0,0
1448,1,0,0
